600009.SH,2013-12-31,-0.02,23.689,0.1729,1.4957,0.1136,0.3753,2.7081,2.3624,28.0823,1.0
600009.SH,2014-12-31,-0.02,23.7639,0.1755,1.5999,0.1177,0.4313,2.7726,2.739,28.1413,1.0
600009.SH,2015-12-31,-0.00,23.8594,0.182,2.0083,0.1305,0.5783,2.8332,4.577,28.1981,1.0
600009.SH,2016-12-31,0.03,23.9674,0.1927,2.7483,0.1317,0.6413,2.8904,1.2534,28.2937,1.0
600009.SH,2017-12-31,0.01,24.017,0.1603,2.2588,0.1553,0.7037,2.9444,1.5257,28.3887,1.0
600010.SH,2008-12-31,0.01,24.2386,0.5814,3.5871,0.0648,0.1582,1.9459,2.2541,28.4325,1.0
600010.SH,2009-12-31,-0.09,24.5052,0.6731,1.1367,-0.1217,0.1463,2.0794,6.208,28.5638,1.0
600010.SH,2010-12-31,-0.04,24.4831,0.7102,2.3947,0.0155,0.1627,2.1972,3.3498,28.7565,1.0
600010.SH,2011-12-31,-0.05,24.462,0.6992,1.925,0.0391,0.6708,2.3026,7.7319,28.9243,1.0
600010.SH,2012-12-31,-0.09,24.6299,0.7382,2.0325,0.0198,0.6605,2.3979,3.191,29.0215,1.0
600010.SH,2013-12-31,-0.10,24.8784,0.7938,2.6386,0.0123,0.6559,2.4849,1.618,29.1419,1.0
600010.SH,2014-12-31,-0.02,25.1997,0.7825,1.8039,0.0106,0.6198,2.5649,4.4264,29.2376,1.0
600010.SH,2015-12-31,-0.01,25.3644,0.8152,3.4088,-0.0951,0.6398,2.6391,6.1524,29.3287,1.0
600010.SH,2016-12-31,-0.03,25.6995,0.6736,2.4849,0.0018,0.6395,2.7081,1.4788,29.4517,1.0
600010.SH,2017-12-31,-0.03,25.6751,0.6646,1.9149,0.0427,0.6423,2.7726,1.5467,29.5575,1.0
600011.SH,2008-12-31,-0.01,25.5284,0.5844,3.0918,-0.0899,0.8585,1.9459,0.8637,27.3999,1.0
600011.SH,2009-12-31,0.01,25.8267,0.7474,1.8611,0.1267,0.8053,2.0794,1.7411,27.7114,1.0
600011.SH,2010-12-31,-0.00,25.9911,0.7489,1.7222,0.0853,0.7956,2.1972,0.6644,27.8702,1.0
600011.SH,2011-12-31,-0.02,26.1347,0.7283,1.1981,0.0247,0.2811,2.3026,0.4679,27.9919,1.0
600011.SH,2012-12-31,-0.01,26.262,0.7714,1.1706,0.1111,0.8049,2.3979,0.3838,28.0938,1.0
600011.SH,2013-12-31,-0.03,26.2718,0.7473,1.4732,0.1787,0.8647,2.4849,0.6221,28.163,1.0
600011.SH,2014-12-31,-0.01,26.285,0.7155,0.9822,0.1627,0.8466,2.5649,0.6879,28.2295,1.0
600011.SH,2015-12-31,-0.02,26.3297,0.6935,1.5,0.1929,0.8438,2.6391,1.8308,28.3018,1.0
600011.SH,2016-12-31,0.00,26.4261,0.6799,1.23,0.1091,0.8745,2.7081,0.2709,28.4038,1.0
600011.SH,2017-12-31,-0.02,26.458,0.6873,0.9883,0.0247,0.8817,2.7726,0.3746,28.4807,1.0
600012.SH,2008-12-31,0.00,22.7231,0.3443,2.9067,0.1436,0.5836,1.6094,1.8722,27.5324,1.0
600012.SH,2009-12-31,-0.01,22.8735,0.3923,1.0754,0.1308,0.7715,1.7918,2.4235,27.6207,1.0
600012.SH,2010-12-31,-0.03,22.9823,0.4223,1.6756,0.136,0.7742,1.9459,2.5452,27.8191,1.0
600012.SH,2011-12-31,-0.02,22.9652,0.3597,1.6179,0.1439,0.763,2.0794,0.7766,27.9256,1.0
600012.SH,2012-12-31,-0.01,23.0364,0.3508,1.0222,0.1181,0.7616,2.1972,0.4488,28.0095,1.0
600012.SH,2013-12-31,-0.01,23.1511,0.3541,0.883,0.1254,0.7677,2.3026,0.6797,28.0823,1.0
600012.SH,2014-12-31,-0.02,23.2249,0.3531,0.7929,0.1183,0.8163,2.3979,1.0174,28.1413,1.0
600012.SH,2015-12-31,-0.01,23.1684,0.2673,1.0928,0.1195,0.8135,2.4849,3.5085,28.1981,1.0
600012.SH,2016-12-31,-0.03,23.2198,0.2664,2.0557,0.1116,0.7978,2.5649,1.8991,28.2937,1.0
600012.SH,2017-12-31,-0.02,23.2975,0.282,2.3199,0.1212,0.8022,2.6391,1.0559,28.3887,1.0
600017.SH,2008-12-31,0.00,22.286,0.4182,3.6058,0.0991,0.1863,0.6931,6.2391,27.5324,1.0
600017.SH,2009-12-31,0.01,22.4636,0.471,1.6223,0.1066,0.6753,1.0986,11.0814,27.6207,1.0
600017.SH,2010-12-31,0.02,22.7461,0.4104,2.3413,0.099,0.6369,1.3863,2.7189,27.8191,1.0
600017.SH,2011-12-31,-0.01,22.8817,0.4396,1.9048,0.0836,0.6191,1.6094,1.26,27.9256,1.0
600017.SH,2012-12-31,0.01,23.0678,0.3457,1.0409,0.096,0.6343,1.7918,0.5685,28.0095,1.0
600017.SH,2013-12-31,0.02,23.3491,0.3464,0.9843,0.0885,0.6237,1.9459,0.894,28.0823,1.0
600017.SH,2014-12-31,-0.00,23.4889,0.3451,0.7508,0.0591,0.5875,2.0794,3.5945,28.1413,1.0
600017.SH,2015-12-31,-0.02,23.5891,0.3742,1.3012,0.03,0.5832,2.1972,8.5073,28.1981,1.0
600017.SH,2016-12-31,-0.02,23.6462,0.3953,1.7887,0.0173,0.5892,2.3026,2.4681,28.2937,1.0
600017.SH,2017-12-31,-0.02,23.7112,0.4225,1.0869,0.0351,0.5903,2.3979,2.4415,28.3887,1.0
600018.SH,2008-12-31,0.03,24.7404,0.3793,5.5349,0.1562,0.7736,0.6931,0.4471,27.5324,1.0
600018.SH,2009-12-31,0.04,24.8022,0.3912,1.9316,0.1233,0.9121,1.0986,1.3071,27.6207,1.0
600018.SH,2010-12-31,-0.05,24.8719,0.3975,3.1899,0.161,0.9098,1.3863,0.21,27.8191,1.0
600018.SH,2011-12-31,-0.04,24.9113,0.3708,1.9289,0.1138,0.9049,1.6094,0.1394,27.9256,1.0
600018.SH,2012-12-31,-0.03,25.1452,0.3833,1.1479,0.1075,0.9046,1.7918,0.0662,28.0095,1.0
600018.SH,2013-12-31,-0.05,25.1904,0.3848,1.1168,0.1076,0.901,1.9459,0.7673,28.0823,1.0
600018.SH,2014-12-31,-0.05,25.2075,0.3697,2.1513,0.1313,0.9098,2.0794,0.5518,28.1413,1.0
600018.SH,2015-12-31,-0.04,25.2695,0.3612,2.4256,0.1153,0.9086,2.1972,1.389,28.1981,1.0
600018.SH,2016-12-31,0.04,25.3135,0.3184,2.2364,0.1138,0.9115,2.3026,0.2585,28.2937,1.0
600018.SH,2017-12-31,0.00,25.4836,0.4157,1.7387,0.1792,0.9185,2.3979,0.4536,28.3887,1.0
600019.SH,2008-12-31,-0.01,25.9615,0.4977,3.2284,0.0699,0.8173,2.0794,2.3805,28.4325,1.0
600019.SH,2009-12-31,-0.05,26.0217,0.5109,0.8305,0.0627,0.8616,2.1972,1.8015,28.5638,1.0
600019.SH,2010-12-31,0.01,26.0273,0.4968,1.6713,0.1295,0.794,2.3026,0.8122,28.7565,1.0
600019.SH,2011-12-31,0.02,26.0988,0.4847,1.005,0.0702,0.796,2.3979,0.6363,28.9243,1.0
600019.SH,2012-12-31,-0.01,26.1661,0.509,0.7485,0.0952,0.8168,2.4849,0.3754,29.0215,1.0
600019.SH,2013-12-31,0.01,26.0909,0.4526,0.7135,0.0529,0.8275,2.5649,0.3738,29.1419,1.0
600019.SH,2014-12-31,-0.06,26.1468,0.4703,0.5611,0.0516,0.8472,2.6391,0.739,29.2376,1.0
600019.SH,2015-12-31,-0.05,26.1555,0.4568,0.9296,0.009,0.8646,2.7081,2.2852,29.3287,1.0
600019.SH,2016-12-31,0.01,26.1791,0.4783,0.7523,0.0768,0.8666,2.7726,0.6801,29.4517,1.0
600019.SH,2017-12-31,-0.01,26.3142,0.5096,0.7948,0.1224,0.8605,2.8332,1.0001,29.5575,1.0
600020.SH,2008-12-31,-0.02,23.5349,0.6855,2.8036,0.0514,0.246,1.6094,2.2823,27.5324,1.0
600020.SH,2009-12-31,0.03,23.6743,0.7141,1.0272,0.0792,0.4216,1.7918,4.2086,27.6207,1.0
600020.SH,2010-12-31,-0.04,23.8122,0.7349,1.6107,0.0878,0.4682,1.9459,2.2269,27.8191,1.0
600020.SH,2011-12-31,-0.01,24.068,0.7789,1.2084,0.0474,0.4671,2.0794,0.8975,27.9256,1.0
600020.SH,2012-12-31,-0.00,24.137,0.7905,0.8678,0.0791,0.6537,2.1972,0.4222,28.0095,1.0
600020.SH,2013-12-31,-0.02,24.1587,0.7802,0.7673,0.0573,0.6582,2.3026,0.4692,28.0823,1.0
600020.SH,2014-12-31,-0.00,24.2885,0.8023,0.714,0.1211,0.6551,2.3979,1.3594,28.1413,1.0
600020.SH,2015-12-31,0.01,24.3972,0.801,1.1636,0.1386,0.6113,2.4849,6.8749,28.1981,1.0
