600004.SH,2017,0.2484,-1.1073,0.02,23.5993,0.3871,1.4901,0.1224,0.7069,2.6391,2.2328,28.3887,1.0
600006.SH,2017,0.3321,-0.6985,0.01,23.7915,0.6554,1.8571,0.0305,0.6382,2.8904,1.7784,29.5575,1.0
600007.SH,2017,0.1782,-1.5284,-0.04,23.1399,0.4525,2.8347,0.1016,0.8522,2.8904,0.2588,29.0781,0.0
600009.SH,2017,0.1852,-1.4813,0.01,24.017,0.1603,2.2588,0.1553,0.7037,2.9444,1.5257,28.3887,1.0
600010.SH,2017,0.2256,-1.2333,-0.03,25.6751,0.6646,1.9149,0.0427,0.6423,2.7726,1.5467,29.5575,1.0
600011.SH,2017,0.1001,-2.1961,-0.02,26.458,0.6873,0.9883,0.0247,0.8817,2.7726,0.3746,28.4807,1.0
600012.SH,2017,0.2017,-1.3755,-0.02,23.2975,0.282,2.3199,0.1212,0.8022,2.6391,1.0559,28.3887,1.0
600019.SH,2017,0.1996,-1.3889,-0.01,26.3142,0.5096,0.7948,0.1224,0.8605,2.8332,1.0001,29.5575,1.0
600020.SH,2017,0.2274,-1.2232,0.01,24.6019,0.7459,0.8212,0.0969,0.6131,2.6391,2.5653,28.3887,1.0
600021.SH,2017,0.1913,-1.4413,0.02,24.7406,0.7146,1.6386,0.0698,0.3952,2.6391,1.0299,28.4807,1.0
600022.SH,2017,0.2588,-1.0523,0.11,24.7199,0.5841,0.9302,0.1132,0.568,2.5649,3.0351,29.5575,1.0
600027.SH,2017,0.2816,-0.9363,0.04,26.0709,0.7314,0.81,0.0102,0.757,2.4849,0.6985,28.4807,1.0
600028.SH,2017,0.1022,-2.1728,0.01,28.0356,0.4445,0.7717,0.0714,0.9522,2.7726,0.3025,29.3693,1.0
600031.SH,2017,0.2640,-1.0253,-0.14,24.8432,0.619,1.9796,0.0869,0.5271,2.6391,2.2813,29.5575,0.0
600033.SH,2017,0.3088,-0.8059,-0.01,23.6116,0.4318,0.9303,0.0766,0.5563,2.7726,1.961,28.3887,1.0
600035.SH,2017,0.1835,-1.4927,0.02,22.9078,0.5111,2.0605,0.1031,0.6153,2.5649,1.0018,28.3887,1.0
600037.SH,2017,0.2093,-1.3293,0.05,23.4369,0.1587,1.6802,0.06,0.6314,2.7726,1.4867,27.4795,1.0
600038.SH,2017,0.1594,-1.6626,-0.07,23.7102,0.6432,4.0349,0.0649,0.7565,2.8332,2.5229,29.5575,1.0
