600026.SH,2010,0.0023,-6.0776
600026.SH,2011,0.0526,-2.8903
600026.SH,2012,0.7926,1.3406
600026.SH,2013,0.7256,0.9722
600026.SH,2014,0.4646,-0.1420
600026.SH,2015,0.6078,0.4380
600026.SH,2016,0.0521,-2.9002
600026.SH,2017,0.5043,0.0174
600027.SH,2008,0.7394,1.0430
600027.SH,2009,0.6775,0.7422
600027.SH,2010,0.0051,-5.2672
600027.SH,2011,0.0346,-3.3288
600027.SH,2012,0.5096,0.0384
600027.SH,2013,0.5559,0.2244
600027.SH,2014,0.5621,0.2499
600027.SH,2015,0.6542,0.6377
600027.SH,2016,0.0114,-4.4603
600027.SH,2017,0.2816,-0.9363
600028.SH,2008,0.5286,0.1145
600028.SH,2009,0.5612,0.2459
600028.SH,2010,0.0109,-4.5052
600028.SH,2011,0.0264,-3.6085
600028.SH,2012,0.4172,-0.3345
600028.SH,2013,0.3314,-0.7017
600028.SH,2014,0.3706,-0.5294
600028.SH,2015,0.6578,0.6536
600028.SH,2016,0.0016,-6.4393
600028.SH,2017,0.1022,-2.1728
600029.SH,2008,0.6374,0.5640
600029.SH,2009,0.5365,0.1462
600029.SH,2010,0.0009,-7.0670
600029.SH,2011,0.0143,-4.2300
600029.SH,2012,0.6312,0.5374
600029.SH,2013,0.7766,1.2461
600029.SH,2014,0.6521,0.6284
600029.SH,2015,0.5962,0.3897
600029.SH,2016,0.0195,-3.9163
600029.SH,2017,0.0166,-4.0800
600031.SH,2008,0.7196,0.9427
600031.SH,2009,0.5257,0.1029
600031.SH,2010,0.0548,-2.8476
600031.SH,2011,0.0269,-3.5902
600031.SH,2012,0.6273,0.5207
600031.SH,2013,0.6957,0.8270
600031.SH,2014,0.5654,0.2633
600031.SH,2015,0.6483,0.6117
600031.SH,2016,0.0366,-3.2715
600031.SH,2017,0.2640,-1.0253
600033.SH,2008,0.5738,0.2976
600033.SH,2009,0.4227,-0.3118
600033.SH,2010,0.0109,-4.5121
600033.SH,2011,0.0042,-5.4623
600033.SH,2012,0.7359,1.0246
600033.SH,2013,0.7941,1.3496
600033.SH,2014,0.5651,0.2618
600033.SH,2015,0.7431,1.0622
600033.SH,2016,0.0088,-4.7236
600033.SH,2017,0.3088,-0.8059
600035.SH,2008,0.6674,0.6966
600035.SH,2009,0.5965,0.3911
600035.SH,2010,0.0894,-2.3209
600035.SH,2011,0.0463,-3.0247
600035.SH,2012,0.8676,1.8797
600035.SH,2013,0.4585,-0.1664
600035.SH,2014,0.5339,0.1360
600035.SH,2015,0.4843,-0.0626
600035.SH,2016,0.2397,-1.1546
600035.SH,2017,0.1835,-1.4927
600037.SH,2008,0.5481,0.1929
600037.SH,2009,0.6364,0.5599
600037.SH,2010,0.0158,-4.1337
600037.SH,2011,0.0374,-3.2492
600037.SH,2012,0.7032,0.8624
600037.SH,2013,0.5813,0.3282
600037.SH,2014,0.1021,-2.1743
600037.SH,2015,0.7594,1.1494
600037.SH,2016,0.0095,-4.6438
600037.SH,2017,0.2093,-1.3293
600038.SH,2008,0.5775,0.3125
600038.SH,2009,0.6525,0.6299
600038.SH,2010,0.0725,-2.5496
600038.SH,2011,0.0292,-3.5041
600038.SH,2012,0.5063,0.0253
600038.SH,2013,0.3868,-0.4609
600038.SH,2014,0.2971,-0.8612
600038.SH,2015,0.6333,0.5463
600038.SH,2016,0.0124,-4.3810
600038.SH,2017,0.1594,-1.6626
600039.SH,2008,0.5063,0.0250
600039.SH,2009,0.5238,0.0952
600039.SH,2010,0.0308,-3.4500
600039.SH,2011,0.0169,-4.0638
600039.SH,2012,0.2564,-1.0647
600039.SH,2013,0.4094,-0.3665
600039.SH,2014,0.2519,-1.0885
600039.SH,2015,0.6623,0.6736
600039.SH,2016,0.1258,-1.9382
600039.SH,2017,0.3920,-0.4388
600048.SH,2008,0.8285,1.5752
600048.SH,2009,0.8178,1.5014
600048.SH,2010,0.0554,-2.8360
600048.SH,2011,0.0005,-7.5726
600048.SH,2012,0.7893,1.3209
600048.SH,2013,0.8243,1.5460
600048.SH,2014,0.7307,0.9983
600048.SH,2015,0.5461,0.1851
600048.SH,2016,0.0387,-3.2131
600048.SH,2017,0.4881,-0.0475
600050.SH,2008,0.8395,1.6543
600050.SH,2009,0.5997,0.4044
600050.SH,2010,0.1129,-2.0618
600050.SH,2011,0.0240,-3.7069
600050.SH,2012,0.5013,0.0052
600050.SH,2013,0.5175,0.0702
600050.SH,2014,0.6206,0.4919
600050.SH,2015,0.4897,-0.0410
600050.SH,2016,0.0335,-3.3624
600050.SH,2017,0.3817,-0.4824
600051.SH,2008,0.7448,1.0713
600051.SH,2009,0.4222,-0.3137
600051.SH,2010,0.0273,-3.5724
600051.SH,2011,0.0853,-2.3727
600051.SH,2012,0.4410,-0.2370
600051.SH,2013,0.4561,-0.1761
600051.SH,2014,0.4265,-0.2962
600051.SH,2015,0.8229,1.5362
600051.SH,2016,0.0231,-3.7457
600051.SH,2017,0.5711,0.2861
600052.SH,2008,0.7144,0.9167
600052.SH,2009,0.6520,0.6279
600052.SH,2010,0.0102,-4.5785
600052.SH,2011,0.0031,-5.7687
600052.SH,2012,0.6223,0.4994
600052.SH,2013,0.6383,0.5678
600052.SH,2014,0.0653,-2.6612
600052.SH,2015,0.5571,0.2294
600052.SH,2016,0.1154,-2.0368
600052.SH,2017,0.3227,-0.7415
600054.SH,2008,0.4752,-0.0994
600054.SH,2009,0.4824,-0.0706
600054.SH,2010,0.0924,-2.2847
600054.SH,2011,0.0112,-4.4781
600054.SH,2012,0.5631,0.2539
600054.SH,2013,0.5160,0.0640
600054.SH,2014,0.1846,-1.4854
600054.SH,2015,0.7230,0.9593
600054.SH,2016,0.0213,-3.8290
600054.SH,2017,0.1505,-1.7304
600055.SH,2008,0.7648,1.1790
600055.SH,2009,0.5663,0.2669
600055.SH,2010,0.1039,-2.1550
